trajectory,method,diffusivity_m2_s,cooling_rate_1_s,signal_sd_K,source_coupling,n_frames,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K,mean_95_interval_width_K,hot_region_95_interval_width_K,hot_region_interval_score_K,interval_calibration_scale,calibrated_true_peak_in_95,calibrated_hot_region_95_coverage,calibrated_hot_region_95_interval_width_K,calibrated_hot_region_interval_score_K,fixed_top_01_crps_K,fixed_top_01_mae_K,fixed_top_03_crps_K,fixed_top_03_mae_K,fixed_top_05_crps_K,fixed_top_05_mae_K,fixed_top_10_crps_K,fixed_top_10_mae_K,true_peak_location_crps_K,true_peak_location_mae_K,field_maximum_crps_K,family,run_index,role,fraction_saturated,observed_saturated_fraction,observation_design,residual_lengthscale_m,forcing_lengthscale_m,forcing_intensity_K2_per_s,source_amplitude_fraction_sd,source_amplitude_timescale_s
DiagonalScanPath_1,physics mean + RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.1702227206133784,1,117,2,294.6560504149699,0.4395020080942645,0.4294946851149249,334.19579037327884,340.2588088609208,6.063018487641955,3.4196267389530575,True,0.9984006397441024,0.9473684210526316,0.7381393838298024,1.5105089348485512,11.4465492252087,12.17907139387774,19.87242809933087,1.0,True,0.9473684210526316,12.17907139387774,19.87242809933087,2.7252411603574553,3.8781561627066,1.5105089348485512,1.8940065583876304,1.251270765262447,1.318772541357715,0.9813468784529776,0.7253779157476575,4.260436885325469,6.063018487641955,4.260436885325415,Diagonal,1,evaluation,0.03,0.017094017094017,fixed_stride_5,0.0003125,,,,
DiagonalScanPath_1,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,5,294.6560504149699,0.452485744442776,0.4325303935178855,334.19579037327884,340.26376783262305,6.067977459344206,3.3985568836258127,False,0.9972011195521792,0.9210526315789472,0.7342419046520232,1.5536182363864195,11.351272550608735,11.8426502701486,20.33623338446461,1.0,False,0.9210526315789472,11.8426502701486,20.33623338446461,2.841395999946845,3.866734926318576,1.5536182363864195,1.9404767421002072,1.2966762800610765,1.452285024663967,1.0030121087944828,0.8237341329516251,4.789194398726579,6.067977459344206,4.789194398726576,Diagonal,1,evaluation,0.03,0.0213675213675213,fixed_stride_5,0.0003125,,,,
DiagonalScanPath_1,physics mean + advective space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,5,294.6560504149699,0.4507044149154103,0.4286051262608811,334.19579037327884,340.44047406681585,6.244683693537013,3.3453179292213213,True,0.9984006397441024,0.9473684210526316,0.719928062183926,1.52287632550306,11.104127440097926,11.910439335207649,19.344573487693943,1.0,True,0.9473684210526316,11.910439335207649,19.344573487693943,2.7392478335706847,3.857896234185408,1.52287632550306,1.9131123209972885,1.249851908630751,1.3520380738004638,0.9687714220254308,0.7510568626989638,4.6073584346768,6.244683693537013,4.60735843467675,Diagonal,1,evaluation,0.03,0.0213675213675213,fixed_stride_5,0.0003125,,,,
DiagonalScanPath_2,physics mean + RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.1702227206133784,1,117,1,294.7833581687172,0.4618313447092765,0.4632933005787223,330.73381085494185,326.574465425674,4.15934542926783,3.4196267389530575,True,0.9976009596161536,0.9210526315789472,0.7393335177235587,1.593479054821333,11.46441010795504,12.048919693448704,19.78287695404959,1.0,True,0.9210526315789472,12.048919693448704,19.78287695404959,3.068534868783167,4.2186123024643685,1.593479054821333,1.8689513971214764,1.2574961432909857,1.234752022985273,0.9946328184804276,0.6583740784457094,2.9472946830237547,4.15934542926783,2.5946073016069526,Diagonal,2,evaluation,0.03,0.0085470085470085,fixed_stride_5,0.0003125,,,,
DiagonalScanPath_2,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,3,294.7833581687172,0.4712006516081814,0.4664630277442201,330.73381085494185,326.55223350403946,4.181577350902387,3.3985568836172493,True,0.9988004798080768,0.9605263157894736,0.7332016527835111,1.568362355573549,11.36944176473046,12.245453484581928,18.423079150037257,1.0,True,0.9605263157894736,12.245453484581928,18.423079150037257,2.984101033377077,4.220699440478171,1.568362355573549,1.8862341581701707,1.2609371111732548,1.312606142009096,0.9867517832851566,0.7314415489414521,2.5434475323103767,4.181577350902387,2.3031735033319984,Diagonal,2,evaluation,0.03,0.0128205128205128,fixed_stride_5,0.0003125,,,,
DiagonalScanPath_2,physics mean + advective space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,3,294.7833581687172,0.4559866918099078,0.4537973892483983,330.73381085494185,326.5869651512452,4.14684570369667,3.3091928956306504,True,0.9976009596161536,0.9210526315789472,0.7139379418424143,1.5540956625224387,11.058591521549603,11.854661592713764,20.563530368277977,1.0,True,0.9210526315789472,11.854661592713764,20.563530368277977,3.0274100146027556,4.147591432747712,1.5540956625224387,1.746194486260891,1.2258013726111954,1.1863865832316716,0.9603591570543836,0.652746805312718,2.278687908199824,4.14684570369667,2.116517723564795,Diagonal,2,evaluation,0.03,0.0128205128205128,fixed_stride_5,0.0003125,,,,
DiagonalScanPath_3,physics mean + RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.1702227206133784,1,117,2,294.9015209525281,0.4410240451958109,0.4512368277769396,326.4740358780628,331.55694674878004,5.082910870717228,3.419839810731507,False,0.9976009596161536,0.9210526315789472,0.7376417309689101,1.5712100595755158,11.45316653449985,12.279161022384864,21.553689026623612,1.0,False,0.9210526315789472,12.279161022384864,21.553689026623612,2.883457633996959,3.715708701766022,1.5712100595755158,1.7939708911904284,1.2435112492875415,1.1495008299406395,0.9802810066355424,0.6218323896481898,5.8234285790036715,7.428504981463561,3.5491885276009834,Diagonal,3,evaluation,0.03,0.017094017094017,fixed_stride_5,0.0003125,,,,
DiagonalScanPath_3,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,5,294.9015209525281,0.4467554640149482,0.4566124085935321,326.4740358780628,331.49298070790206,5.018944829839256,3.3985881686745785,False,0.9968012794882048,0.8947368421052632,0.7321841232844435,1.5778441494891664,11.347496891671456,11.945035301587046,23.06591222793802,1.0,False,0.8947368421052632,11.945035301587046,23.06591222793802,2.969835240395138,3.851077031746406,1.5778441494891664,1.8078980970737415,1.2484540299801608,1.2115505709703152,0.9816677587394084,0.6701032932630471,5.936521641486398,7.5379289476535405,3.352703927438534,Diagonal,3,evaluation,0.03,0.0213675213675213,fixed_stride_5,0.0003125,,,,
DiagonalScanPath_3,physics mean + advective space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,5,294.9015209525281,0.4334479327084015,0.4416162114655526,326.4740358780628,331.6148055856634,5.140769707600612,3.404614596381295,False,0.9976009596161536,0.9210526315789472,0.7314387998063936,1.5394689651713909,11.352105756315288,12.181104159115836,22.283703843764577,1.0,False,0.9210526315789472,12.181104159115836,22.283703843764577,2.865108831933907,3.6334605265297784,1.5394689651713909,1.715030784248717,1.2226261454127294,1.1183534251022107,0.969984584384559,0.6146550927178426,5.477450657562242,7.3547923393860515,3.5742836937884266,Diagonal,3,evaluation,0.03,0.0213675213675213,fixed_stride_5,0.0003125,,,,
DiagonalScanPath_4,physics mean + RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.1702227206133784,1,117,2,295.3585248883726,0.4145734488660652,0.4274683312640293,331.63935958961497,339.09185032019934,7.452490730584373,3.4196309546876793,False,0.9972011195521792,0.9078947368421052,0.7367045943497826,1.534368709826646,11.457155472219451,12.01077115275171,22.45757851378129,1.0,False,0.9078947368421052,12.01077115275171,22.45757851378129,2.9388289709892508,3.996763162876501,1.534368709826646,1.7553961202762818,1.2195022970460798,1.1351624867112766,0.9668031928436736,0.6214789876099701,5.525132376623381,7.452490730584373,5.525132376623372,Diagonal,4,evaluation,0.03,0.017094017094017,fixed_stride_5,0.0003125,,,,
